Metabolite,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
%C22:4n6-F,0.174%,0.192%,0.205%,0.186%,0.115%,0.150%,0.131%,0.270%,0.134%,0.219%
8_9-DiHETrE-NE-F,0.05,0.75,0.13,0.14,0.03,0.07,0.15,0.07,0.19,0.08
%C20:1n9-F,0.138%,0.116%,0.202%,0.203%,0.144%,0.154%,0.178%,0.175%,0.140%,0.134%
C22:6n3-NEFA-F,1.45,0.48,4.44,0.97,4.73,2.67,1.32,1.89,2.37,2.41
9-HOTE-NE-PP,0.87,1.33,3.13,0.42,0.38,1.28,0.64,1.20,1.25,1.60
%C18:3n3-F,1.049%,1.682%,1.658%,1.403%,0.622%,1.572%,1.140%,1.300%,1.267%,1.017%
%-C18:3n6-NEFA-PP,0.159%,0.295%,0.332%,0.293%,0.445%,0.105%,0.327%,0.126%,0.308%,0.275%
C20:3n6-NEFA-F,0.12,0.23,1.14,0.15,3.78,0.41,1.30,0.38,0.51,0.23
%C18:4n3-PP,0.0420%,0.0203%,0.0332%,0.0500%,0.0231%,0.0591%,0.0152%,0.0185%,0.0111%,0.0892%
15_16-DiHODE-To-PP,2.34,7.70,11.90,6.94,4.27,1.54,11.50,3.79,3.89,4.01
9-HODE-NE-PP,15.20,21.10,59.30,7.03,3.64,14.70,10.10,17.10,27.90,19.80
%-C22:6n3-NEFA-PP,0.842%,1.391%,0.981%,1.032%,0.918%,1.225%,0.510%,0.563%,1.095%,1.576%
C16:1n7/C16:0-PP,0.06,0.08,0.07,0.10,0.16,0.11,0.09,0.09,0.06,0.09
%C19:0-F,0.017%,0.015%,0.019%,0.016%,0.016%,0.019%,0.008%,0.026%,0.019%,0.008%
11_12-DiHETrE-NE-PP,0.03,0.02,0.09,0.01,0.00,0.03,,0.04,0.02,0.02
C20:0-PP,4.53,7.74,12.98,3.81,21.74,4.12,9.99,5.87,8.68,9.01
5-HETE-To-F,39.40,168.00,21.90,24.00,60.30,14.90,82.60,20.60,16.70,74.80
Total NEFA-NEFA-F,108.57,56.77,259.66,65.05,421.51,125.69,203.37,77.22,160.00,79.12
_ (n-3) PUFA-NEFA-F,3.14,1.97,12.02,2.51,19.46,6.31,5.83,4.31,8.41,3.28
15_16-DiHODE-NE-PP,3.320000000000000,3.220000000000000,10.500000000000000,2.090000000000000,0.405000000000000,2.730000000000000,3.490000000000000,4.760000000000000,3.370000000000000,4.640000000000000
6-keto PGF1a-NE-PP,0.43,0.43,0.17,0.38,0.44,0.42,0.21,0.39,0.31,0.53
12_13-DiHOME-NE-PP,1.97,2.47,8.60,1.01,0.45,1.16,2.54,2.52,3.12,2.98
%-C18:3n6-NEFA-F,0.302%,0.788%,0.402%,0.446%,0.421%,0.341%,0.415%,0.455%,0.503%,0.265%
%C20:0-F,0.038%,0.035%,0.050%,0.032%,0.083%,0.033%,0.052%,0.033%,0.046%,0.024%
%C14:0-PP,1.4427%,1.8813%,2.0843%,2.7015%,3.0835%,1.9273%,2.7445%,1.9817%,1.7913%,1.6981%
C15:0-NEFA-F,1.90,1.44,2.01,1.38,4.23,1.63,1.94,2.51,1.83,1.72
C18:0/C16:0-NEFA-PP,0.33,0.38,0.26,0.39,0.39,0.28,0.37,0.39,0.32,0.26
9_10-e-DiHO-To-PP,10.30,9.81,30.00,10.50,9.08,7.65,12.30,10.70,16.50,13.80
15(16)-EpODE-To-PP,61.30,47.60,182.00,46.60,17.10,47.50,60.70,65.40,71.60,92.60
C18:1n7-NEFA-F,1.25,0.75,3.77,0.82,5.30,1.74,2.41,0.76,2.56,0.93
12(13)-EpODE-To-PP,6.98,6.42,20.00,6.83,2.85,6.77,5.82,8.81,9.85,10.70
C14:0-NEFA-F,2.20,1.89,8.67,1.62,7.40,2.93,4.23,2.58,4.64,3.48
12-HETE-To-F,21.30,82.60,9.89,12.00,33.50,7.93,31.30,9.42,7.61,68.40
C18:3n6-NEFA-F,0.33,0.45,1.04,0.29,1.77,0.43,0.84,0.35,0.80,0.21
C17:0-F,24.48,97.52,33.61,21.83,49.57,17.31,60.84,15.62,23.06,58.27
%C20:4n6 (AA)-F,3.667%,4.205%,3.185%,2.957%,3.069%,2.621%,2.692%,4.175%,3.154%,4.283%
_ (n-6) PUFA-NEFA-F,21.98,9.44,36.41,10.65,127.54,31.66,47.97,10.13,31.84,8.59
_ (n-6)/_ (n-3) -F,10.29,8.56,8.42,5.79,7.84,7.07,5.10,9.53,6.97,13.63
%-C16:1n7-NEFA-PP,1.796%,3.171%,3.584%,2.855%,2.101%,2.435%,1.959%,2.072%,3.030%,3.671%
15-HETE-NE-PP,0.02,0.18,0.42,0.01,0.22,0.06,0.19,0.29,0.10,0.21
C16:1n7/C16:0-NEFA-PP,0.10,0.22,0.14,0.19,0.13,0.14,0.10,0.19,0.17,0.16
15-KETE-To-F,4.33,15.80,2.38,3.54,9.02,2.46,9.07,3.13,1.84,12.10
C18:2n6-NEFA-F,19.57,7.71,27.38,9.13,106.50,29.09,38.40,8.48,28.80,4.81
C18:3n3-NEFA-F,1.40,1.32,4.98,1.39,11.78,2.83,3.46,2.02,4.91,0.69
%C22:5n3 (DPA)-F,0.467%,0.703%,0.435%,0.527%,0.215%,0.582%,0.449%,0.423%,0.432%,0.442%
5-KETE-To-F,4.25,17.80,2.13,3.63,7.60,1.65,10.20,2.57,1.62,11.10
12_13-DiHOME-To-PP,5.02,9.62,19.50,6.76,3.71,2.31,13.90,4.79,7.23,8.80
9_10-DiHODE-To-PP,0.67,1.41,3.47,1.16,0.54,0.38,2.46,0.76,1.16,1.15
%_ MUFA-F,32.86%,30.76%,34.48%,38.97%,32.76%,36.29%,36.15%,34.68%,30.26%,35.92%
9(10)-EpOME-NE-F,7.42,7.43,3.84,2.67,2.37,1.04,1.54,10.40,5.54,1.67
%C16:1n7-PP,1.6510%,2.0401%,1.6796%,2.6436%,5.2104%,2.9072%,2.9587%,2.3038%,1.7890%,2.3484%
%-C20:4n6-NEFA-PP,0.797%,0.971%,0.774%,0.967%,0.981%,1.068%,1.254%,0.824%,0.216%,1.509%
15_16-DiHODE-To-F,0.27,3.70,2.04,0.73,4.76,0.93,4.52,1.24,0.55,0.94
%-C18:0-NEFA-PP,6.039%,5.395%,6.934%,5.953%,6.263%,5.068%,7.392%,4.299%,5.654%,6.118%
C12:0-NEFA-F,1.75,1.25,2.63,1.12,4.26,1.65,1.94,2.32,2.07,2.06
9_10-DiHOME-To-PP,4.63,7.67,22.60,5.96,4.09,1.97,14.30,4.53,7.94,8.71
%-C15:0-NEFA-F,1.749%,2.540%,0.775%,2.116%,1.004%,1.301%,0.952%,3.244%,1.141%,2.173%
%C14:0-F,1.136%,1.106%,1.148%,2.311%,4.313%,1.830%,2.334%,1.306%,1.699%,1.232%
%C16:0-F,29.771%,25.210%,26.995%,27.691%,38.427%,25.750%,33.247%,25.823%,27.887%,25.207%
%C16:1n7t-PP,0.4465%,0.6172%,0.4760%,0.5343%,0.5923%,0.6297%,0.3823%,0.5941%,0.5572%,0.5849%
C18:1n9/C18:0-PP,4.95,3.93,4.34,5.03,5.48,4.48,4.02,4.27,5.09,5.35
17(18)-EpETE-To-F,2.94,13.70,4.24,4.74,4.57,4.06,13.20,1.47,0.99,4.88
%C18:3n6-PP,0.1666%,0.5232%,0.1750%,0.2450%,0.4633%,0.3586%,0.2667%,0.3732%,0.1778%,0.5101%
8_9-DiHETrE-To-PP,1.71,1.06,1.83,1.34,1.96,1.46,1.30,1.47,1.75,1.76
11-HETE-NE-F,,0.05,0.16,0.07,0.09,0.10,,0.02,,0.16
15-HEPE-NE-F,0.39,0.25,0.48,0.30,0.17,0.34,0.39,0.69,0.15,0.30
%_ SFA-F,35.81%,30.61%,33.72%,34.29%,48.38%,32.04%,41.31%,31.96%,34.93%,30.46%
9_10-DiHODE-To-F,0.03,0.56,0.11,0.08,0.70,0.12,0.57,0.08,0.08,0.21
13-HOTE-NE-F,0.96,2.74,4.86,1.18,5.07,0.10,1.81,4.06,2.40,6.99
C18:3n6-F,18.62,297.84,25.03,26.82,44.99,39.48,116.47,27.28,14.58,181.31
C17:0-NEFA-F,0.55,0.20,0.58,0.27,1.57,0.41,0.71,0.70,0.53,0.43
5-KETE-NE-PP,0.13,0.06,0.07,0.01,0.09,0.00,0.12,0.09,0.05,0.01
C22:5n3-NEFA-F,0.28,0.02,1.20,0.08,1.57,0.75,0.66,0.21,0.87,0.12
%-C16:0-NEFA-PP,18.073%,14.154%,26.323%,15.315%,15.901%,17.920%,20.242%,11.095%,17.443%,23.376%
C18:3n3-F,82.59,691.39,145.51,111.51,107.05,119.04,393.36,74.79,88.93,303.09
C18:1n9-NEFA-F,26.98,12.45,65.84,14.46,107.53,34.51,52.97,17.48,57.58,12.75
%C18:3n6-F,0.236%,0.725%,0.285%,0.337%,0.262%,0.521%,0.338%,0.474%,0.208%,0.609%
C20:3n6-F,27.31,417.81,58.38,48.89,61.63,57.59,179.11,42.57,42.08,240.90
%-_ (n-6) PUFA-NEFA-PP,18.214%,16.097%,11.883%,22.116%,20.056%,24.954%,19.496%,24.978%,13.374%,11.323%
8_9-DiHETrE-NE-PP,0.06,0.01,0.15,0.06,0.27,0.05,0.16,0.14,0.06,0.11
C16:1n7t-NEFA-F,1.46,1.48,2.56,1.59,5.89,2.11,2.52,2.29,2.95,1.34
C18:2n6-F,"1,885.29","11,578.60","2,088.58","1,463.85","2,185.67","1,772.87","5,150.07","1,395.30","1,829.76","7,497.66"
_ (n-6) PUFA-F,"2,248.33","14,214.94","2,494.44","1,812.71","2,878.46","2,101.00","6,498.77","1,736.66","2,136.03","9,330.19"
_ MUFA-NEFA-F,32.43,16.92,80.12,19.11,129.41,41.65,63.51,22.23,72.33,18.20
C22:5n3 (DPA)-F,36.81,289.08,38.15,41.85,37.07,44.10,154.88,24.35,30.31,131.73
%-_ SFA-NEFA-PP,30.709%,27.250%,41.008%,26.641%,28.745%,27.546%,33.575%,19.837%,31.807%,37.975%
_ (n-6)/_ (n-3) -NEFA-F,6.99,4.78,3.03,4.24,6.55,5.02,8.23,2.35,3.78,2.62
C16:1n7t-F,39.11,297.89,46.73,64.86,72.34,48.65,143.78,41.96,49.42,202.67
PGF2a - Select-To-PP,0.03,,0.02,0.10,,0.06,,0.07,0.05,0.02
%-C18:2n6-NEFA-PP,16.534%,14.063%,10.008%,20.013%,17.671%,22.968%,17.076%,23.250%,12.094%,8.830%
"%-9c,11t-CLA-NEFA-PP",0.159%,0.162%,0.051%,0.078%,0.101%,0.066%,0.075%,0.072%,0.159%,0.063%
